StorageUnit,bus,p_nom,capital_cost,max_hours,efficiency_dispatch
AL0 0 hydro,AL0 0,1690.7,182698.73459185107,36.82912403146626,0.9
AT0 0 hydro,AT0 0,4510.12,182698.73459185107,557.4296959744228,0.9
BA0 0 hydro,BA0 0,1773.5,182698.73459185107,1409.472163511462,0.9
BE0 0 hydro,BE0 0,12.73566878980889,182698.73459185107,15703.925981495406,0.9
BG0 0 hydro,BG0 0,1925.14,182698.73459185107,2070.6078518964855,0.9
CH0 0 hydro,CH0 0,10456.869999999999,182698.73459185107,600.8987173403066,0.9
DE0 6 hydro,DE0 6,120.0,182698.73459185107,1036.2694300518135,0.9
DE0 7 hydro,DE0 7,169.5,182698.73459185107,1036.2694300518135,0.9
ES0 0 hydro,ES0 0,655.89,182698.73459185107,21585.96892449583,0.9
ES0 1 hydro,ES0 1,7426.0199999999995,182698.73459185107,82.13206163351022,0.9
ES0 2 hydro,ES0 2,1420.195,182698.73459185107,623.6384944355798,0.9
ES0 3 hydro,ES0 3,600.3,182698.73459185107,408.33927480704097,0.9
ES0 4 hydro,ES0 4,3234.9320000000002,182698.73459185107,259.15700168590183,0.9
ES0 5 hydro,ES0 5,1628.0,182698.73459185107,860.7775760020689,0.9
FI1 0 hydro,FI1 0,1103.0,182698.73459185107,4696.8403074295475,0.9
FI1 1 hydro,FI1 1,68.0,182698.73459185107,4696.8403074295475,0.9
FR0 0 hydro,FR0 0,463.4,182698.73459185107,2405.608038976705,0.9
FR0 11 hydro,FR0 11,1743.1847133757958,182698.73459185107,586.3326317305418,0.9
FR0 12 hydro,FR0 12,677.6687898089167,182698.73459185107,2405.608038976705,0.9
FR0 3 hydro,FR0 3,139.0,182698.73459185107,2405.608038976705,0.9
FR0 6 hydro,FR0 6,1160.5878980891716,182698.73459185107,0.6057178135343015,0.9
FR0 8 hydro,FR0 8,1748.949681528662,182698.73459185107,2405.608038976705,0.9
FR0 9 hydro,FR0 9,2505.740127388534,182698.73459185107,465.29749108887165,0.9
FR6 0 hydro,FR6 0,134.96178343949032,182698.73459185107,2405.608038976705,0.9
GB3 0 hydro,GB3 0,90.0,182698.73459185107,902.9345372460497,0.9
GB3 6 hydro,GB3 6,131.5,182698.73459185107,902.9345372460497,0.9
GR0 0 hydro,GR0 0,2566.0,182698.73459185107,181.76365513952496,0.9
HR0 0 hydro,HR0 0,1452.4044585987263,182698.73459185107,1927.8376511604959,0.9
HU0 0 hydro,HU0 0,28.0,182698.73459185107,7142.857142857143,0.9
IE4 0 hydro,IE4 0,1.0,182698.73459185107,200000.0,0.9
IT0 0 hydro,IT0 0,144.0,182698.73459185107,1883.2840659864594,0.9
IT0 1 hydro,IT0 1,69.0,182698.73459185107,1883.2840659864594,0.9
IT0 2 hydro,IT0 2,1587.4,182698.73459185107,1883.2840659864594,0.9
IT0 3 hydro,IT0 3,24.0,182698.73459185107,1883.2840659864594,0.9
IT0 4 hydro,IT0 4,1661.6,182698.73459185107,1883.2840659864594,0.9
IT0 5 hydro,IT0 5,127.8,182698.73459185107,1883.2840659864594,0.9
IT0 6 hydro,IT0 6,503.0,182698.73459185107,1883.2840659864594,0.9
IT5 0 hydro,IT5 0,78.0,182698.73459185107,1883.2840659864594,0.9
ME0 0 hydro,ME0 0,344.961,182698.73459185107,8.389354158875932,0.9
MK0 0 hydro,MK0 0,371.0,182698.73459185107,6.0,0.9
NO1 0 hydro,NO1 0,19104.680000000004,182698.73459185107,2092.868311969869,0.9
NO1 1 hydro,NO1 1,4979.65,182698.73459185107,3316.3743601204137,0.9
NO1 2 hydro,NO1 2,6237.7300000000005,182698.73459185107,697.6943309981281,0.9
PL0 0 hydro,PL0 0,71.0,182698.73459185107,11420.258228768867,0.9
PL0 1 hydro,PL0 1,41.00636942675159,182698.73459185107,11420.258228768867,0.9
PL0 3 hydro,PL0 3,28.09554140127388,182698.73459185107,11420.258228768867,0.9
PT0 0 hydro,PT0 0,1159.4,182698.73459185107,1404.1228221493875,0.9
RO0 0 hydro,RO0 0,4449.94,182698.73459185107,2719.1377861274536,0.9
RS0 0 hydro,RS0 0,790.1,182698.73459185107,0.0,0.9
SE1 0 hydro,SE1 0,417.30442806549576,182698.73459185107,3106.8499112367867,0.9
SE1 1 hydro,SE1 1,3719.242601054487,182698.73459185107,3106.8499112367867,0.9
SE1 2 hydro,SE1 2,6742.639595812526,182698.73459185107,3106.8499112367867,0.9
SI0 0 hydro,SI0 0,576.1899999999998,182698.73459185107,3818.184973706591,0.9
SK0 0 hydro,SK0 0,282.4,182698.73459185107,7790.368271954675,0.9
