Generator,capital_cost
AL0 0 offwind-ac,200844.0
BA0 0 offwind-ac,200848.0
BE0 1 offwind-ac,203578.0
BG0 0 offwind-ac,202716.0
DE0 10 offwind-ac,203507.0
DE0 5 offwind-ac,205985.0
DE0 9 offwind-ac,200741.0
DK0 0 offwind-ac,203845.0
DK1 0 offwind-ac,209166.0
EE0 0 offwind-ac,214155.0
ES0 0 offwind-ac,200624.0
ES0 1 offwind-ac,200180.0
ES0 2 offwind-ac,200176.0
ES0 3 offwind-ac,200627.0
ES0 4 offwind-ac,200785.0
ES2 0 offwind-ac,200501.0
FI1 0 offwind-ac,202861.0
FI1 1 offwind-ac,203260.0
FR0 0 offwind-ac,201551.0
FR0 1 offwind-ac,205542.0
FR0 10 offwind-ac,201894.0
FR0 12 offwind-ac,202713.0
FR0 2 offwind-ac,202163.0
FR0 4 offwind-ac,202342.0
FR0 5 offwind-ac,202623.0
FR0 6 offwind-ac,201722.0
FR0 9 offwind-ac,200711.0
FR6 0 offwind-ac,200394.0
GB3 0 offwind-ac,204002.0
GB3 1 offwind-ac,202948.0
GB3 2 offwind-ac,204553.0
GB3 3 offwind-ac,202481.0
GB3 4 offwind-ac,201594.0
GB3 5 offwind-ac,211945.0
GB3 6 offwind-ac,210593.0
GB3 7 offwind-ac,200701.0
GB4 0 offwind-ac,223521.0
GR0 0 offwind-ac,211113.0
HR0 0 offwind-ac,203071.0
IE4 0 offwind-ac,201125.0
IT0 0 offwind-ac,202201.0
IT0 1 offwind-ac,200966.0
IT0 2 offwind-ac,200403.0
IT0 3 offwind-ac,201079.0
IT0 4 offwind-ac,202048.0
IT0 5 offwind-ac,201425.0
IT0 6 offwind-ac,203564.0
IT5 0 offwind-ac,201349.0
LT0 0 offwind-ac,202273.0
LV0 0 offwind-ac,203142.0
ME0 0 offwind-ac,203020.0
NL0 0 offwind-ac,202306.0
NL0 1 offwind-ac,204003.0
NO1 0 offwind-ac,202795.0
NO1 1 offwind-ac,207376.0
NO1 2 offwind-ac,203304.0
PL0 1 offwind-ac,202980.0
PL0 2 offwind-ac,205147.0
PT0 0 offwind-ac,200900.0
RO0 0 offwind-ac,204490.0
SE1 0 offwind-ac,202443.0
SE1 1 offwind-ac,209652.0
SE1 2 offwind-ac,202421.0
SI0 0 offwind-ac,200462.0
AL0 0 offwind-float,220631.0
BA0 0 offwind-float,212898.0
BE0 1 offwind-float,218528.0
BG0 0 offwind-float,223469.0
DE0 10 offwind-float,217814.0
DE0 5 offwind-float,272702.0
DE0 9 offwind-float,215722.0
DK0 0 offwind-float,249844.0
DK1 0 offwind-float,254951.0
EE0 0 offwind-float,235069.0
ES0 0 offwind-float,224155.0
ES0 1 offwind-float,221289.0
ES0 2 offwind-float,222147.0
ES0 3 offwind-float,219212.0
ES0 4 offwind-float,224402.0
ES2 0 offwind-float,223351.0
FI1 0 offwind-float,214057.0
FI1 1 offwind-float,226614.0
FR0 0 offwind-float,222040.0
FR0 1 offwind-float,219124.0
FR0 10 offwind-float,216014.0
FR0 12 offwind-float,223327.0
FR0 2 offwind-float,234967.0
FR0 4 offwind-float,241411.0
FR0 5 offwind-float,223078.0
FR0 6 offwind-float,217210.0
FR0 9 offwind-float,216590.0
FR6 0 offwind-float,217678.0
GB3 0 offwind-float,238193.0
GB3 1 offwind-float,220875.0
GB3 2 offwind-float,221454.0
GB3 3 offwind-float,245462.0
GB3 4 offwind-float,252773.0
GB3 5 offwind-float,240901.0
GB3 6 offwind-float,251341.0
GB3 7 offwind-float,217184.0
GB4 0 offwind-float,272190.0
GR0 0 offwind-float,247427.0
HR0 0 offwind-float,225045.0
IE4 0 offwind-float,236263.0
IT0 0 offwind-float,222202.0
IT0 1 offwind-float,220013.0
IT0 2 offwind-float,215674.0
IT0 3 offwind-float,237342.0
IT0 4 offwind-float,216085.0
IT0 5 offwind-float,220066.0
IT0 6 offwind-float,222522.0
IT5 0 offwind-float,220581.0
LT0 0 offwind-float,233939.0
LV0 0 offwind-float,227508.0
ME0 0 offwind-float,214350.0
NL0 0 offwind-float,236074.0
NL0 1 offwind-float,242669.0
NO1 0 offwind-float,242241.0
NO1 1 offwind-float,235371.0
NO1 2 offwind-float,250325.0
PL0 1 offwind-float,226070.0
PL0 2 offwind-float,226199.0
PT0 0 offwind-float,219543.0
RO0 0 offwind-float,235642.0
SE1 0 offwind-float,221090.0
SE1 1 offwind-float,233453.0
SE1 2 offwind-float,221068.0
SI0 0 offwind-float,212467.0
BE0 1 offwind-dc,222214.0
BG0 0 offwind-dc,222272.0
DE0 10 offwind-dc,227507.0
DE0 5 offwind-dc,242794.0
DE0 9 offwind-dc,234220.0
DK0 0 offwind-dc,241039.0
DK1 0 offwind-dc,240333.0
EE0 0 offwind-dc,227502.0
ES0 0 offwind-dc,233031.0
ES2 0 offwind-dc,228186.0
FI1 0 offwind-dc,221132.0
FI1 1 offwind-dc,222623.0
FR0 1 offwind-dc,221100.0
FR0 10 offwind-dc,221140.0
FR0 12 offwind-dc,220815.0
FR0 2 offwind-dc,221923.0
FR0 4 offwind-dc,221227.0
FR0 5 offwind-dc,222547.0
GB3 0 offwind-dc,223734.0
GB3 1 offwind-dc,227377.0
GB3 2 offwind-dc,222413.0
GB3 3 offwind-dc,222265.0
GB3 4 offwind-dc,243858.0
GB3 5 offwind-dc,233865.0
GB3 6 offwind-dc,223545.0
GB3 7 offwind-dc,222516.0
GB4 0 offwind-dc,252529.0
GR0 0 offwind-dc,250546.0
HR0 0 offwind-dc,222313.0
IE4 0 offwind-dc,221057.0
IT0 0 offwind-dc,222163.0
IT0 1 offwind-dc,220332.0
IT0 3 offwind-dc,259506.0
IT0 4 offwind-dc,221337.0
IT0 5 offwind-dc,221219.0
IT0 6 offwind-dc,217632.0
LT0 0 offwind-dc,227612.0
LV0 0 offwind-dc,222628.0
NL0 0 offwind-dc,242811.0
NL0 1 offwind-dc,241561.0
NO1 0 offwind-dc,250234.0
NO1 1 offwind-dc,228065.0
NO1 2 offwind-dc,221253.0
PL0 1 offwind-dc,226244.0
PL0 2 offwind-dc,223655.0
RO0 0 offwind-dc,221917.0
SE1 0 offwind-dc,229493.0
SE1 1 offwind-dc,232398.0
SE1 2 offwind-dc,225535.0
