locs,hydro_reservoir_power,hydro_run_of_river,pumped_hydro_power,hydro_reservoir_energy,pumped_hydro_energy,existing_nuclear,under_construction_nuclear
ALB,1.7602,0.362316,0,1525.27358,0,0,0
AUT,5.23992,4.473616868,3.5893,3183.615737,701.0174419,0,0
BEL,0.012735669,0.05901534,1.308,11.47168817,5.71,4.096,0
BGR,1.49954,0.0224,1.399,1350.714718,41.13,2.08,2
BIH,1.5695,0.096,0.43,2.953779503,0.0034,0,0
CHE,9.12793,4.0528798,4.24765,2283.602044,288.2197303,3.095,0
CYP,0,0,0,0,0,0,0
CZE,0.711483902,0.040226382,1.172509552,640.8710526,5.618274935,4.164,3.6
DEU,0.2028,3.53289555,6.42472,171.7218619,38.71671898,0,0
DNK,0,0,0,0,0,0,0
ESP,8.364235,0.147008248,7.823272,8141.594275,4022.348642,7.408,0
EST,0,0,0,0,0,0,0
FIN,1.345,1.34095,0,1211.512394,0,4.622,0
FRA,9.469638217,6.331332562,5.064,9108.375384,82.74555161,65.69,3.3
GBR,0.524,0.848475,2.905,471.9944197,25.43,6.534,6.72
GRC,2.5862,0.110315,0.699,1912.857143,5.14,0,0
HRV,1.327624459,0.27866773,0.5187,1195.861328,27.81434783,0,0
HUN,0.028,0.0197,0,25.22107586,0,2.027,2.53
IRL,0.001,0.216,0.292,0.900752709,1.8,0,0
ISL,0,0,0,0,0,0,0
ITA,5.52824,5.90196,7.9626,4979.577158,413.6195,0,0
LTU,0.101,0,0.9,90.97602365,10.8,0,0
LUX,0,0,1.291,0,4.478,0,0
LVA,0.884,0.6421,0,46.33,0,0,0
MKD,0.449,0.0416,0,404.4379665,0,0,0
MNE,0.362961,0.31236,0,354.7481033,0,0,0
NLD,0,0,0,0,0,0.515,3.3
NOR,31.75431,0,1.3443,44705.52225,4952.9217,0,0
POL,0.412506369,0.014400369,1.705,2.690258931,15.69,0,3.75
PRT,1.3354,1.6155,3.64,1816.778113,511.5761039,0,0
ROU,5.273480127,0.87045,0,4750.101512,0,1.411,1.902
SRB,1.8753,0.215,0.614,784.1607808,6.300055463,0,0
SVK,0.792,0.64133,1.02128,713.3961458,10.47902385,2.471,1.671
SVN,0.60219,0.451415,0.185,542.424274,1.89822518,0.727,0
SWE,11.67406352,1.995,0.092,10521.55504,184.3066667,7.184,0
