start,end,length,capex,transformer_capex,fom,vom,lifetime,existing_capacity,max_build,unit_type
ALB,GRC,1,516,0,7.74,0,60,0.8,32,ac_ohl_mountain_transmission
ALB,MKD,1,516,0,7.74,0,60,0.7,28,ac_ohl_mountain_transmission
ALB,MNE,1,175,0,2.625,0,60,0.9,36,ac_ohl_transmission
ALB,SRB,1,175,0,2.625,0,60,0.9,36,ac_ohl_transmission
AUT,CHE,1,516,0,7.74,0,60,2.4,24,ac_ohl_mountain_transmission
AUT,DEU,1,516,0,7.74,0,60,5.3,26.5,ac_ohl_mountain_transmission
AUT,ITA,1,516,0,7.74,0,60,2.3,23,ac_ohl_mountain_transmission
AUT,SVN,1,516,0,7.74,0,60,1.6,16,ac_ohl_mountain_transmission
AUT,CZE,1,175,0,2.625,0,60,2.1,21,ac_ohl_transmission
AUT,DEU,1,175,0,2.625,0,60,5.5,27.5,ac_ohl_transmission
AUT,HUN,1,175,0,2.625,0,60,1.6,16,ac_ohl_transmission
BEL,FRA,1,175,0,2.625,0,60,4.6,46,ac_ohl_transmission
BEL,LUX,1,175,0,2.625,0,60,0.7,28,ac_ohl_transmission
BEL,NLD,1,175,0,2.625,0,60,3.5,35,ac_ohl_transmission
BEL,GBR,1,942,0,14.13,0,60,2.4,24,dc_subsea_transmission
BEL,DEU,1,755,0,11.325,0,60,2,20,dc_underground_transmission
BGR,GRC,1,175,0,2.625,0,60,0.5,20,ac_ohl_transmission
BGR,MKD,1,175,0,2.625,0,60,0.7,28,ac_ohl_transmission
BGR,ROU,1,175,0,2.625,0,60,1.7,17,ac_ohl_transmission
BGR,SRB,1,175,0,2.625,0,60,0.9,36,ac_ohl_transmission
BIH,MNE,1,516,0,7.74,0,60,1.4,14,ac_ohl_mountain_transmission
BIH,HRV,1,175,0,2.625,0,60,4,40,ac_ohl_transmission
BIH,SRB,1,175,0,2.625,0,60,3.1,31,ac_ohl_transmission
CHE,AUT,1,516,0,7.74,0,60,2.4,24,ac_ohl_mountain_transmission
CHE,ITA,1,516,0,7.74,0,60,7.5,37.5,ac_ohl_mountain_transmission
CHE,DEU,1,175,0,2.625,0,60,6,30,ac_ohl_transmission
CHE,FRA,1,175,0,2.625,0,60,9.5,47.5,ac_ohl_transmission
CHE,ITA,1,755,0,11.325,0,60,1,40,dc_underground_transmission
CYP,GRC,1,942,0,14.13,0,60,2,20,dc_subsea_transmission
CZE,AUT,1,175,0,2.625,0,60,2.1,21,ac_ohl_transmission
CZE,DEU,1,175,0,2.625,0,60,3.7,37,ac_ohl_transmission
CZE,POL,1,175,0,2.625,0,60,2.1,21,ac_ohl_transmission
CZE,SVK,1,175,0,2.625,0,60,2.7,27,ac_ohl_transmission
DEU,AUT,1,516,0,7.74,0,60,5.3,26.5,ac_ohl_mountain_transmission
DEU,AUT,1,175,0,2.625,0,60,5.5,27.5,ac_ohl_transmission
DEU,CHE,1,175,0,2.625,0,60,6,30,ac_ohl_transmission
DEU,CZE,1,175,0,2.625,0,60,3.7,37,ac_ohl_transmission
DEU,DNK,1,175,0,2.625,0,60,3,30,ac_ohl_transmission
DEU,FRA,1,175,0,2.625,0,60,2.9,29,ac_ohl_transmission
DEU,LUX,1,175,0,2.625,0,60,2.9,29,ac_ohl_transmission
DEU,NLD,1,175,0,2.625,0,60,8.5,42.5,ac_ohl_transmission
DEU,POL,1,175,0,2.625,0,60,5.1,25.5,ac_ohl_transmission
DEU,DNK,1,942,0,14.13,0,60,1.95,19.5,dc_subsea_transmission
DEU,GBR,1,942,0,14.13,0,60,1.4,14,dc_subsea_transmission
DEU,NOR,1,942,0,14.13,0,60,1.4,14,dc_subsea_transmission
DEU,SWE,1,942,0,14.13,0,60,2.6,26,dc_subsea_transmission
DEU,BEL,1,755,0,11.325,0,60,2,20,dc_underground_transmission
DNK,DEU,1,175,0,2.625,0,60,3,30,ac_ohl_transmission
DNK,SWE,1,175,0,2.625,0,60,1.7,17,ac_ohl_transmission
DNK,DEU,1,942,0,14.13,0,60,1.95,19.5,dc_subsea_transmission
DNK,GBR,1,942,0,14.13,0,60,1.4,14,dc_subsea_transmission
DNK,NLD,1,942,0,14.13,0,60,0.7,28,dc_subsea_transmission
DNK,NOR,1,942,0,14.13,0,60,1.7,17,dc_subsea_transmission
DNK,POL,1,942,0,14.13,0,60,0.6,24,dc_subsea_transmission
DNK,SWE,1,942,0,14.13,0,60,0.74,29.6,dc_subsea_transmission
ESP,FRA,1,516,0,7.74,0,60,2,20,ac_ohl_mountain_transmission
ESP,FRA,1,175,0,2.625,0,60,0.1,4,ac_ohl_transmission
ESP,PRT,1,175,0,2.625,0,60,3.55,35.5,ac_ohl_transmission
ESP,FRA,1,942,0,14.13,0,60,4.5,45,dc_subsea_transmission
ESP,FRA,1,755,0,11.325,0,60,4.3,43,dc_underground_transmission
EST,LVA,1,175,0,2.625,0,60,0.95,38,ac_ohl_transmission
EST,FIN,1,942,0,14.13,0,60,1,40,dc_subsea_transmission
FIN,NOR,1,175,0,2.625,0,60,0.05,2,ac_ohl_transmission
FIN,SWE,1,175,0,2.625,0,60,3.15,31.5,ac_ohl_transmission
FIN,EST,1,942,0,14.13,0,60,1,40,dc_subsea_transmission
FIN,SWE,1,942,0,14.13,0,60,0.8,32,dc_subsea_transmission
FRA,ESP,1,516,0,7.74,0,60,2,20,ac_ohl_mountain_transmission
FRA,ITA,1,516,0,7.74,0,60,4.8,48,ac_ohl_mountain_transmission
FRA,BEL,1,175,0,2.625,0,60,4.6,46,ac_ohl_transmission
FRA,CHE,1,175,0,2.625,0,60,9.5,47.5,ac_ohl_transmission
FRA,DEU,1,175,0,2.625,0,60,2.9,29,ac_ohl_transmission
FRA,ESP,1,175,0,2.625,0,60,0.1,4,ac_ohl_transmission
FRA,ESP,1,942,0,14.13,0,60,4.5,45,dc_subsea_transmission
FRA,GBR,1,942,0,14.13,0,60,7.6,38,dc_subsea_transmission
FRA,IRL,1,942,0,14.13,0,60,0.7,28,dc_subsea_transmission
FRA,ITA,1,942,0,14.13,0,60,1.8,18,dc_subsea_transmission
FRA,ESP,1,755,0,11.325,0,60,4.3,43,dc_underground_transmission
FRA,GBR,1,755,0,11.325,0,60,3,30,dc_underground_transmission
FRA,ITA,1,755,0,11.325,0,60,1.1,11,dc_underground_transmission
GBR,IRL,1,175,0,2.625,0,60,1.1,11,ac_ohl_transmission
GBR,BEL,1,942,0,14.13,0,60,2.4,24,dc_subsea_transmission
GBR,DEU,1,942,0,14.13,0,60,1.4,14,dc_subsea_transmission
GBR,DNK,1,942,0,14.13,0,60,1.4,14,dc_subsea_transmission
GBR,FRA,1,942,0,14.13,0,60,7.6,38,dc_subsea_transmission
GBR,IRL,1,942,0,14.13,0,60,1.75,17.5,dc_subsea_transmission
GBR,ISL,1,942,0,14.13,0,60,1,40,dc_subsea_transmission
GBR,NLD,1,942,0,14.13,0,60,1,40,dc_subsea_transmission
GBR,NOR,1,942,0,14.13,0,60,3.4,34,dc_subsea_transmission
GBR,FRA,1,755,0,11.325,0,60,3,30,dc_underground_transmission
GRC,ALB,1,516,0,7.74,0,60,0.8,32,ac_ohl_mountain_transmission
GRC,BGR,1,175,0,2.625,0,60,0.5,20,ac_ohl_transmission
GRC,MKD,1,175,0,2.625,0,60,0.6,24,ac_ohl_transmission
GRC,CYP,1,942,0,14.13,0,60,2,20,dc_subsea_transmission
GRC,ITA,1,942,0,14.13,0,60,1,40,dc_subsea_transmission
HRV,BIH,1,175,0,2.625,0,60,4,40,ac_ohl_transmission
HRV,HUN,1,175,0,2.625,0,60,2.3,23,ac_ohl_transmission
HRV,SRB,1,175,0,2.625,0,60,0.7,28,ac_ohl_transmission
HRV,SVN,1,175,0,2.625,0,60,3.4,34,ac_ohl_transmission
HUN,AUT,1,175,0,2.625,0,60,1.6,16,ac_ohl_transmission
HUN,HRV,1,175,0,2.625,0,60,2.3,23,ac_ohl_transmission
HUN,ROU,1,175,0,2.625,0,60,1.4,14,ac_ohl_transmission
HUN,SRB,1,175,0,2.625,0,60,0.7,28,ac_ohl_transmission
HUN,SVK,1,175,0,2.625,0,60,5.4,27,ac_ohl_transmission
HUN,SVN,1,175,0,2.625,0,60,0.9,36,ac_ohl_transmission
IRL,GBR,1,175,0,2.625,0,60,1.1,11,ac_ohl_transmission
IRL,FRA,1,942,0,14.13,0,60,0.7,28,dc_subsea_transmission
IRL,GBR,1,942,0,14.13,0,60,1.75,17.5,dc_subsea_transmission
ISL,GBR,1,942,0,14.13,0,60,1,40,dc_subsea_transmission
ITA,AUT,1,516,0,7.74,0,60,2.3,23,ac_ohl_mountain_transmission
ITA,CHE,1,516,0,7.74,0,60,7.5,37.5,ac_ohl_mountain_transmission
ITA,FRA,1,516,0,7.74,0,60,4.8,48,ac_ohl_mountain_transmission
ITA,SVN,1,175,0,2.625,0,60,2.6,26,ac_ohl_transmission
ITA,FRA,1,942,0,14.13,0,60,1.8,18,dc_subsea_transmission
ITA,GRC,1,942,0,14.13,0,60,1,40,dc_subsea_transmission
ITA,MNE,1,942,0,14.13,0,60,1.2,12,dc_subsea_transmission
