locs,nuclear build,pv_sociotech,onsw_sociotech,offsw_sociotech,rooftop_sociotech,pv,onsw,offw,rooftop
ALB,FALSE,2.542606525,8.447712124,2.72829493,13.76637355,15070.41566,1575.839229,29.49061752,13.76637356
AUT,FALSE,7.07046945,15.49587376,0,79.83136859,7016.226142,838.7066902,0,79.82523915
BEL,TRUE,5.315518811,4.081998026,3.265640626,92.87185327,4440.424587,481.9761657,52.15309108,92.86209586
BGR,TRUE,33.65671634,34.6442378,5.208668053,76.3083408,8183.865398,1068.581897,80.78610804,76.33422729
BIH,FALSE,13.83744591,20.56978466,0.012178559,37.38117522,8154.619786,966.2665178,0.157482151,37.38117522
CHE,TRUE,4.797412442,4.459334172,0,59.71794911,1201.429364,159.6198493,0,59.71427407
CYP,FALSE,5.035923514,1.791807918,1.810389095,19.93975206,953.3236743,104.6752671,19.76691396,19.9503379
CZE,TRUE,16.22012053,30.4685315,0,95.67771834,153.6287848,219.1187905,0,95.68399934
DEU,FALSE,90.03772374,77.01493528,45.3784138,746.4266642,1464.708693,832.1172452,840.0520726,746.4790977
DNK,FALSE,14.54682352,8.664930261,99.9307014,67.07667095,551.4544583,96.69634418,1250.523546,66.96105476
ESP,TRUE,408.4555342,201.219601,20.43014554,248.9301077,52.69595312,1036.475659,372.9579741,249.1936591
EST,TRUE,9.400614611,20.53301001,21.8505377,14.75389587,423.1444145,222.0089191,321.1257489,14.77322719
FIN,TRUE,334.6296218,182.4562169,57.41140239,54.27643966,1260.035114,1842.556621,710.3683465,54.35310351
FRA,TRUE,220.1145222,159.6262959,37.67069611,746.0614894,1874.255759,922.5492146,817.5953624,746.2465477
GBR,TRUE,246.4672656,75.19106866,109.6553381,367.7470303,567.3224807,602.5121058,2388.978434,367.9706023
GRC,FALSE,30.01778398,34.80743803,21.55761025,76.45612347,6127.49172,917.9409226,360.5399476,76.62002348
HRV,FALSE,22.03778359,14.70014312,20.65742737,64.72624873,403.173193,170.4531594,274.6770422,64.8256438
HUN,TRUE,16.80125554,38.95045509,0,97.97462614,8267.422916,915.5149763,0,97.97208866
IRL,FALSE,192.5276087,26.89368143,22.43663755,35.87391472,102.6681847,122.1312689,301.2630657,35.869929
ISL,FALSE,0,0,0,,2260.471797,277.0990272,42.99584991,0.35390259
ITA,FALSE,42.88319397,72.80118141,46.43444498,410.1068458,3388.095012,830.5925086,601.4323623,410.2397085
LTU,FALSE,7.645036154,28.00535328,2.904391102,34.6303527,117.5532495,180.0870736,51.27410869,34.64178689
LUX,FALSE,1.146907624,0.402600274,0,4.854289355,2086.55554,215.1894637,0,4.863624473
LVA,FALSE,7.08516413,32.099069,15.89823081,18.03063794,2078.156188,459.1454596,229.4013958,18.02550774
MKD,FALSE,8.936780775,11.08770079,0,10.8312379,2270.303191,300.4928591,0,10.83123791
MNE,FALSE,1.578420645,4.62077842,0.52917446,6.948979822,1134.155497,152.025134,5.32147995,6.948979844
NLD,TRUE,20.66412528,6.433051195,70.23887174,154.8515241,268.6251414,51.963296,956.1447941,154.8955363
NOR,TRUE,643.5688062,159.5226401,75.84366659,28.53272508,4592.149455,1591.933959,820.2832823,28.83082048
POL,TRUE,34.27134111,91.63073238,12.3601063,258.3399292,566.7531427,788.7870575,234.2223091,258.3216265
PRT,FALSE,83.73434324,26.62686893,6.041505049,118.2258836,793.0754779,221.4813239,104.5080087,118.2230683
ROU,TRUE,33.62730211,96.96235382,5.642085129,179.4074593,17673.39122,2228.711534,133.7487998,179.3464651
SRB,FALSE,12.49808867,32.42166006,0,79.4899132,2066.725256,351.1305794,0,79.48991323
SVK,TRUE,7.464631608,15.28125605,0,53.77225591,9673.823807,1100.954722,0,53.7703909
SVN,TRUE,1.24144601,2.084560888,0,22.05505535,5110.807301,562.0246381,3.076048009,22.06355705
SWE,TRUE,474.5314173,249.1018426,74.60344176,75.87518927,98.83639794,2385.260682,1059.103972,76.02410575
