id,name,value
0,type,mhmga
1,model_name,FIRMeur
2,balancing_type,full
3,fixed_costs_threshold,500
4,demand_multiple,2.0
5,mga_mutation_prob,"(0.1,0.4)"
6,mga_mutation_sigma,"(0.01,0.05)"
7,mga_mutation_alpha,"-0.1"
8,mga_start_niches,1
9,mga_new_niches,0
10,mga_crossover_prob,0.3
11,mga_champ_count,"2"
12,mga_elite_count,"2"
13,mga_tourn_count,0
14,mga_tourn_size,2
15,mga_steps,3
16,mga_noptimal_rel,0.25
17,mga_noptimal_abs,0.001
18,mga_log_freq,1
19,mga_niche_elitism,selfish
20,mga_iter,2
21,mga_pop_size,16
