id,name,fuel,capex,fom,vom,lifetime,discount_rate,heat_rate_base,heat_rate_incr,unit_size,node,max_build,min_build,initial_capacity,line,unit_type,is_flexible,scenarios,near_optimum,range_group
0,AL00_ror,water,3491.35,12.68,0,60,0.05,0,0,0.001,ALB,0,0,0.604,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
1,AT00_ror,water,3491.35,12.68,0,60,0.059,0,0,0.001,AUT,0,0,5.229,other_connections,ror,FALSE,"test,base,zerocarbon",FALSE,
2,BE00_ror,water,3491.35,12.68,0,60,0.047,0,0,0.001,BEL,0,0,0.148,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
3,BG00_ror,water,3491.35,12.68,0,60,0.079,0,0,0.001,BGR,0,0,0.536,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
4,BA00_ror,water,3491.35,12.68,0,60,0.135,0,0,0.001,BIH,0,0,0.041,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
5,CH00_ror,water,3491.35,12.68,0,60,0.059,0,0,0.001,CHE,0,0,4.215,other_connections,ror,FALSE,"test,base,zerocarbon",FALSE,
6,CZ00_ror,water,3491.35,12.68,0,60,0.064,0,0,0.001,CZE,0,0,0.432,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
7,DE00_ror,water,3491.35,12.68,0,60,0.039,0,0,0.001,DEU,0,0,3.934,other_connections,ror,FALSE,"test,base,zerocarbon",FALSE,
8,ES00_ror,water,3491.35,12.68,0,60,0.071,0,0,0.001,ESP,0,0,3.425,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
9,FR00_ror,water,3491.35,12.68,0,60,0.06,0,0,0.001,FRA,0,0,13.6,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
11,UK00_ror,water,3491.35,12.68,0,60,0.03,0,0,0.001,GBR,0,0,2.219,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
12,GR00_ror,water,3491.35,12.68,0,60,0.082,0,0,0.001,GRC,0,0,0.361,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
13,HR00_ror,water,3491.35,12.68,0,60,0.078,0,0,0.001,HRV,0,0,0.063,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
14,HU00_ror,water,3491.35,12.68,0,60,0.083,0,0,0.001,HUN,0,0,0.064,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
15,IE00_ror,water,3491.35,12.68,0,60,0.067,0,0,0.001,IRL,0,0,0.215,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
16,ITCA_ror,water,3491.35,12.68,0,60,0.078,0,0,0.001,ITA,0,0,0.125,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
17,ITCN_ror,water,3491.35,12.68,0,60,0.078,0,0,0.001,ITA,0,0,0.294,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
18,ITCS_ror,water,3491.35,12.68,0,60,0.078,0,0,0.001,ITA,0,0,0.697,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
19,ITN1_ror,water,3491.35,12.68,0,60,0.078,0,0,0.001,ITA,0,0,5.711,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
20,ITS1_ror,water,3491.35,12.68,0,60,0.078,0,0,0.001,ITA,0,0,0.05,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
21,ITSA_ror,water,3491.35,12.68,0,60,0.078,0,0,0.001,ITA,0,0,0.082,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
22,ITSI_ror,water,3491.35,12.68,0,60,0.078,0,0,0.001,ITA,0,0,0.092,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
23,LT00_ror,water,3491.35,12.68,0,60,0.068,0,0,0.001,LTU,0,0,0.126,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
24,LUG1_ror,water,3491.35,12.68,0,60,0.054,0,0,0.001,LUX,0,0,0.042,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
25,MK00_ror,water,3491.35,12.68,0,60,0.075,0,0,0.001,MKD,0,0,0.231,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
26,ME00_ror,water,3491.35,12.68,0,60,0.109,0,0,0.001,MNE,0,0,0.079,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
27,NL00_ror,water,3491.35,12.68,0,60,0.054,0,0,0.001,NLD,0,0,0.037,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
28,NOM1_ror,water,3491.35,12.68,0,60,0.056,0,0,0.001,NOR,0,0,1.184,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
29,NON1_ror,water,3491.35,12.68,0,60,0.056,0,0,0.001,NOR,0,0,0.727,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
30,NOS0_ror,water,3491.35,12.68,0,60,0.056,0,0,0.001,NOR,0,0,5.557,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
31,PL00_ror,water,3491.35,12.68,0,60,0.066,0,0,0.001,POL,0,0,0.367,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
32,PT00_ror,water,3491.35,12.68,0,60,0.069,0,0,0.001,PRT,0,0,0.505,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
33,RO00_ror,water,3491.35,12.68,0,60,0.083,0,0,0.001,ROU,0,0,3.366,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
34,RS00_ror,water,3491.35,12.68,0,60,0.075,0,0,0.001,SRB,0,0,2.132,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
35,SK00_ror,water,3491.35,12.68,0,60,0.065,0,0,0.001,SVK,0,0,1.425,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
36,SI00_ror,water,3491.35,12.68,0,60,0.07,0,0,0.001,SVN,0,0,0.128,other_connections,ror,FALSE,"base,zerocarbon",FALSE,
37,ALB_pv,solar,691,5,0,25,0.075,0,0,0.001,ALB,268.6251,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
38,AUT_pv,solar,691,5,0,25,0.046,0,0,0.001,AUT,793.0755,0,0,pv_connection,solar,FALSE,"test,base,zerocarbon",FALSE,
