id,name,fuel,capex,fom,vom,lifetime,discount_rate,heat_rate_base,heat_rate_incr,unit_size,node,max_build,min_build,initial_capacity,line,unit_type,is_flexible,scenarios,near_optimum,range_group
0,AL00_ror,water,3491.35,12.68,0,60,0.07,0,0,0.001,ALB,0,0,0.604,other_connections,ror,FALSE,7percent,FALSE,
1,AT00_ror,water,3491.35,12.68,0,60,0.07,0,0,0.001,AUT,0,0,5.229,other_connections,ror,FALSE,7percent,FALSE,
2,BE00_ror,water,3491.35,12.68,0,60,0.07,0,0,0.001,BEL,0,0,0.148,other_connections,ror,FALSE,7percent,FALSE,
3,BG00_ror,water,3491.35,12.68,0,60,0.07,0,0,0.001,BGR,0,0,0.536,other_connections,ror,FALSE,7percent,FALSE,
4,BA00_ror,water,3491.35,12.68,0,60,0.07,0,0,0.001,BIH,0,0,0.041,other_connections,ror,FALSE,7percent,FALSE,
5,CH00_ror,water,3491.35,12.68,0,60,0.07,0,0,0.001,CHE,0,0,4.215,other_connections,ror,FALSE,7percent,FALSE,
6,CZ00_ror,water,3491.35,12.68,0,60,0.07,0,0,0.001,CZE,0,0,0.432,other_connections,ror,FALSE,7percent,FALSE,
7,DE00_ror,water,3491.35,12.68,0,60,0.07,0,0,0.001,DEU,0,0,3.934,other_connections,ror,FALSE,7percent,FALSE,
8,ES00_ror,water,3491.35,12.68,0,60,0.07,0,0,0.001,ESP,0,0,3.425,other_connections,ror,FALSE,7percent,FALSE,
9,FR00_ror,water,3491.35,12.68,0,60,0.07,0,0,0.001,FRA,0,0,13.6,other_connections,ror,FALSE,7percent,FALSE,
10,UK00_ror,water,3491.35,12.68,0,60,0.07,0,0,0.001,GBR,0,0,2.219,other_connections,ror,FALSE,7percent,FALSE,
11,GR00_ror,water,3491.35,12.68,0,60,0.07,0,0,0.001,GRC,0,0,0.361,other_connections,ror,FALSE,7percent,FALSE,
12,HR00_ror,water,3491.35,12.68,0,60,0.07,0,0,0.001,HRV,0,0,0.063,other_connections,ror,FALSE,7percent,FALSE,
13,HU00_ror,water,3491.35,12.68,0,60,0.07,0,0,0.001,HUN,0,0,0.064,other_connections,ror,FALSE,7percent,FALSE,
14,IE00_ror,water,3491.35,12.68,0,60,0.07,0,0,0.001,IRL,0,0,0.215,other_connections,ror,FALSE,7percent,FALSE,
15,ITCA_ror,water,3491.35,12.68,0,60,0.07,0,0,0.001,ITA,0,0,0.125,other_connections,ror,FALSE,7percent,FALSE,
