id,name,length,capex,transformer_capex,fom,vom,lifetime,discount_rate,node_start,node_end,loss_factor,initial_capacity,max_build,min_build,unit_type,scenarios,near_optimum,range_group
0,ALB-GRC,1.0,516.0,0.0,7.74,0.0,60.0,0.05,ALB,GRC,0.007236986168440374,0.8,32.0,0.0,ac_ohl_mountain_transmission,all,False,
1,ALB-MKD,1.0,516.0,0.0,7.74,0.0,60.0,0.05,ALB,MKD,0.007236986168440374,0.7,28.0,0.0,ac_ohl_mountain_transmission,all,False,
2,ALB-MNE,1.0,175.0,0.0,2.625,0.0,60.0,0.05,ALB,MNE,0.009665981416031588,0.9,36.0,0.0,ac_ohl_transmission,all,False,
3,ALB-SRB,1.0,175.0,0.0,2.625,0.0,60.0,0.05,ALB,SRB,0.009665981416031588,0.9,36.0,0.0,ac_ohl_transmission,all,False,
4,AUT-CHE,1.0,516.0,0.0,7.74,0.0,60.0,0.05,AUT,CHE,0.007236986168440374,2.4,24.0,0.0,ac_ohl_mountain_transmission,all,False,
5,AUT-DEU,1.0,516.0,0.0,7.74,0.0,60.0,0.05,AUT,DEU,0.007236986168440374,5.3,26.5,0.0,ac_ohl_mountain_transmission,all,False,
6,AUT-ITA,1.0,516.0,0.0,7.74,0.0,60.0,0.05,AUT,ITA,0.007236986168440374,2.3,23.0,0.0,ac_ohl_mountain_transmission,all,False,
7,AUT-SVN,1.0,516.0,0.0,7.74,0.0,60.0,0.05,AUT,SVN,0.007236986168440374,1.6,16.0,0.0,ac_ohl_mountain_transmission,all,False,
8,AUT-CZE,1.0,175.0,0.0,2.625,0.0,60.0,0.05,AUT,CZE,0.009665981416031588,2.1,21.0,0.0,ac_ohl_transmission,all,False,
9,AUT-DEU,1.0,175.0,0.0,2.625,0.0,60.0,0.05,AUT,DEU,0.009665981416031588,5.5,27.5,0.0,ac_ohl_transmission,all,False,
10,AUT-HUN,1.0,175.0,0.0,2.625,0.0,60.0,0.05,AUT,HUN,0.009665981416031588,1.6,16.0,0.0,ac_ohl_transmission,all,False,
11,BEL-FRA,1.0,175.0,0.0,2.625,0.0,60.0,0.05,BEL,FRA,0.009665981416031588,4.6,46.0,0.0,ac_ohl_transmission,all,False,
12,BEL-LUX,1.0,175.0,0.0,2.625,0.0,60.0,0.05,BEL,LUX,0.009665981416031588,0.7,28.0,0.0,ac_ohl_transmission,all,False,
13,BEL-NLD,1.0,175.0,0.0,2.625,0.0,60.0,0.05,BEL,NLD,0.009665981416031588,3.5,35.0,0.0,ac_ohl_transmission,all,False,
14,BEL-GBR,1.0,942.0,0.0,14.13,0.0,60.0,0.05,BEL,GBR,0.0,2.4,24.0,0.0,dc_subsea_transmission,all,False,
15,BEL-DEU,1.0,755.0,0.0,11.325,0.0,60.0,0.05,BEL,DEU,0.0,2.0,20.0,0.0,dc_underground_transmission,all,False,
16,BGR-GRC,1.0,175.0,0.0,2.625,0.0,60.0,0.05,BGR,GRC,0.009665981416031588,0.5,20.0,0.0,ac_ohl_transmission,all,False,
17,BGR-MKD,1.0,175.0,0.0,2.625,0.0,60.0,0.05,BGR,MKD,0.009665981416031588,0.7,28.0,0.0,ac_ohl_transmission,all,False,
18,BGR-ROU,1.0,175.0,0.0,2.625,0.0,60.0,0.05,BGR,ROU,0.009665981416031588,1.7,17.0,0.0,ac_ohl_transmission,all,False,
19,BGR-SRB,1.0,175.0,0.0,2.625,0.0,60.0,0.05,BGR,SRB,0.009665981416031588,0.9,36.0,0.0,ac_ohl_transmission,all,False,
20,BIH-MNE,1.0,516.0,0.0,7.74,0.0,60.0,0.05,BIH,MNE,0.007236986168440374,1.4,14.0,0.0,ac_ohl_mountain_transmission,all,False,
21,BIH-HRV,1.0,175.0,0.0,2.625,0.0,60.0,0.05,BIH,HRV,0.009665981416031588,4.0,40.0,0.0,ac_ohl_transmission,all,False,
22,BIH-SRB,1.0,175.0,0.0,2.625,0.0,60.0,0.05,BIH,SRB,0.009665981416031588,3.1,31.0,0.0,ac_ohl_transmission,all,False,
23,CHE-AUT,1.0,516.0,0.0,7.74,0.0,60.0,0.05,CHE,AUT,0.007236986168440374,2.4,24.0,0.0,ac_ohl_mountain_transmission,all,False,
24,CHE-ITA,1.0,516.0,0.0,7.74,0.0,60.0,0.05,CHE,ITA,0.007236986168440374,7.5,37.5,0.0,ac_ohl_mountain_transmission,all,False,
25,CHE-DEU,1.0,175.0,0.0,2.625,0.0,60.0,0.05,CHE,DEU,0.009665981416031588,6.0,30.0,0.0,ac_ohl_transmission,all,False,
26,CHE-FRA,1.0,175.0,0.0,2.625,0.0,60.0,0.05,CHE,FRA,0.009665981416031588,9.5,47.5,0.0,ac_ohl_transmission,all,False,
27,CHE-ITA,1.0,755.0,0.0,11.325,0.0,60.0,0.05,CHE,ITA,0.0,1.0,40.0,0.0,dc_underground_transmission,all,False,
28,CYP-GRC,1.0,942.0,0.0,14.13,0.0,60.0,0.05,CYP,GRC,0.0,2.0,20.0,0.0,dc_subsea_transmission,all,False,
29,CZE-AUT,1.0,175.0,0.0,2.625,0.0,60.0,0.05,CZE,AUT,0.009665981416031588,2.1,21.0,0.0,ac_ohl_transmission,all,False,
30,CZE-DEU,1.0,175.0,0.0,2.625,0.0,60.0,0.05,CZE,DEU,0.009665981416031588,3.7,37.0,0.0,ac_ohl_transmission,all,False,
31,CZE-POL,1.0,175.0,0.0,2.625,0.0,60.0,0.05,CZE,POL,0.009665981416031588,2.1,21.0,0.0,ac_ohl_transmission,all,False,
32,CZE-SVK,1.0,175.0,0.0,2.625,0.0,60.0,0.05,CZE,SVK,0.009665981416031588,2.7,27.0,0.0,ac_ohl_transmission,all,False,
33,DEU-AUT,1.0,516.0,0.0,7.74,0.0,60.0,0.05,DEU,AUT,0.007236986168440374,5.3,26.5,0.0,ac_ohl_mountain_transmission,all,False,
34,DEU-AUT,1.0,175.0,0.0,2.625,0.0,60.0,0.05,DEU,AUT,0.009665981416031588,5.5,27.5,0.0,ac_ohl_transmission,all,False,
35,DEU-CHE,1.0,175.0,0.0,2.625,0.0,60.0,0.05,DEU,CHE,0.009665981416031588,6.0,30.0,0.0,ac_ohl_transmission,all,False,
36,DEU-CZE,1.0,175.0,0.0,2.625,0.0,60.0,0.05,DEU,CZE,0.009665981416031588,3.7,37.0,0.0,ac_ohl_transmission,all,False,
37,DEU-DNK,1.0,175.0,0.0,2.625,0.0,60.0,0.05,DEU,DNK,0.009665981416031588,3.0,30.0,0.0,ac_ohl_transmission,all,False,
38,DEU-FRA,1.0,175.0,0.0,2.625,0.0,60.0,0.05,DEU,FRA,0.009665981416031588,2.9,29.0,0.0,ac_ohl_transmission,all,False,
39,DEU-LUX,1.0,175.0,0.0,2.625,0.0,60.0,0.05,DEU,LUX,0.009665981416031588,2.9,29.0,0.0,ac_ohl_transmission,all,False,
40,DEU-NLD,1.0,175.0,0.0,2.625,0.0,60.0,0.05,DEU,NLD,0.009665981416031588,8.5,42.5,0.0,ac_ohl_transmission,all,False,
41,DEU-POL,1.0,175.0,0.0,2.625,0.0,60.0,0.05,DEU,POL,0.009665981416031588,5.1,25.5,0.0,ac_ohl_transmission,all,False,
42,DEU-DNK,1.0,942.0,0.0,14.13,0.0,60.0,0.05,DEU,DNK,0.0,1.95,19.5,0.0,dc_subsea_transmission,all,False,
43,DEU-GBR,1.0,942.0,0.0,14.13,0.0,60.0,0.05,DEU,GBR,0.0,1.4,14.0,0.0,dc_subsea_transmission,all,False,
44,DEU-NOR,1.0,942.0,0.0,14.13,0.0,60.0,0.05,DEU,NOR,0.0,1.4,14.0,0.0,dc_subsea_transmission,all,False,
45,DEU-SWE,1.0,942.0,0.0,14.13,0.0,60.0,0.05,DEU,SWE,0.0,2.6,26.0,0.0,dc_subsea_transmission,all,False,
46,DEU-BEL,1.0,755.0,0.0,11.325,0.0,60.0,0.05,DEU,BEL,0.0,2.0,20.0,0.0,dc_underground_transmission,all,False,
47,DNK-DEU,1.0,175.0,0.0,2.625,0.0,60.0,0.05,DNK,DEU,0.009665981416031588,3.0,30.0,0.0,ac_ohl_transmission,all,False,
48,DNK-SWE,1.0,175.0,0.0,2.625,0.0,60.0,0.05,DNK,SWE,0.009665981416031588,1.7,17.0,0.0,ac_ohl_transmission,all,False,
49,DNK-DEU,1.0,942.0,0.0,14.13,0.0,60.0,0.05,DNK,DEU,0.0,1.95,19.5,0.0,dc_subsea_transmission,all,False,
50,DNK-GBR,1.0,942.0,0.0,14.13,0.0,60.0,0.05,DNK,GBR,0.0,1.4,14.0,0.0,dc_subsea_transmission,all,False,
51,DNK-NLD,1.0,942.0,0.0,14.13,0.0,60.0,0.05,DNK,NLD,0.0,0.7,28.0,0.0,dc_subsea_transmission,all,False,
52,DNK-NOR,1.0,942.0,0.0,14.13,0.0,60.0,0.05,DNK,NOR,0.0,1.7,17.0,0.0,dc_subsea_transmission,all,False,
