id,name,internal_loss,scenarios
0,ALB,0,"base,zerocarbon,7percent"
1,AUT,0,all
2,BEL,0,"base,zerocarbon,7percent"
3,BGR,0,"base,zerocarbon,7percent"
4,BIH,0,"base,zerocarbon,7percent"
5,CHE,0,all
6,CYP,0,"base,zerocarbon,7percent"
7,CZE,0,"base,zerocarbon,7percent"
8,DEU,0,all
9,DNK,0,"base,zerocarbon,7percent"
10,ESP,0,"base,zerocarbon,7percent"
11,EST,0,"base,zerocarbon,7percent"
12,FIN,0,"base,zerocarbon,7percent"
13,FRA,0,"base,zerocarbon,7percent"
14,GBR,0,"base,zerocarbon,7percent"
15,GRC,0,"base,zerocarbon,7percent"
16,HRV,0,"base,zerocarbon,7percent"
17,HUN,0,"base,zerocarbon,7percent"
18,IRL,0,"base,zerocarbon,7percent"
19,ITA,0,"base,zerocarbon,7percent"
20,LTU,0,"base,zerocarbon,7percent"
21,LUX,0,"base,zerocarbon,7percent"
22,LVA,0,"base,zerocarbon,7percent"
23,MKD,0,"base,zerocarbon,7percent"
24,MNE,0,"base,zerocarbon,7percent"
25,NLD,0,"base,zerocarbon,7percent"
26,NOR,0,"base,zerocarbon,7percent"
27,POL,0,"base,zerocarbon,7percent"
28,PRT,0,"base,zerocarbon,7percent"
29,ROU,0,"base,zerocarbon,7percent"
30,SRB,0,"base,zerocarbon,7percent"
31,SVK,0,"base,zerocarbon,7percent"
32,SVN,0,"base,zerocarbon,7percent"
33,SWE,0,"base,zerocarbon,7percent"
