id,name,fuel,capex_p,capex_e,fom,vom,lifetime,discount_rate,heat_rate_base,heat_rate_incr,unit_size,node,discharge_efficiency,max_build_p,max_build_e,min_build_p,min_build_e,initial_power_capacity,initial_energy_capacity,duration,line,unit_type,scenarios,near_optimum,range_group
0,AUT_hydro,water,3370.0,0.0,101.1,0.005,60.0,0.07,0.0,0.0,0.001,AUT,0.9,0.0,0.0,0.0,0.0,5.23992,3183.615737,0.0,other_connections,hydro,all,False,
1,BEL_hydro,water,3370.0,0.0,101.1,0.005,60.0,0.07,0.0,0.0,0.001,BEL,0.9,0.0,0.0,0.0,0.0,0.012735669,11.47168817,0.0,other_connections,hydro,"Base,ZeroCarbon",False,
2,BGR_hydro,water,3370.0,0.0,101.1,0.005,60.0,0.07,0.0,0.0,0.001,BGR,0.9,0.0,0.0,0.0,0.0,1.49954,1350.714718,0.0,other_connections,hydro,"Base,ZeroCarbon",False,
3,HRV_hydro,water,3370.0,0.0,101.1,0.005,60.0,0.07,0.0,0.0,0.001,HRV,0.9,0.0,0.0,0.0,0.0,1.327624459,1195.861328,0.0,other_connections,hydro,"Base,ZeroCarbon",False,
4,CYP_hydro,water,3370.0,0.0,101.1,0.005,60.0,0.07,0.0,0.0,0.001,CYP,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,other_connections,hydro,"Base,ZeroCarbon",False,
5,CZE_hydro,water,3370.0,0.0,101.1,0.005,60.0,0.07,0.0,0.0,0.001,CZE,0.9,0.0,0.0,0.0,0.0,0.711483902,640.8710526,0.0,other_connections,hydro,"Base,ZeroCarbon",False,
6,DNK_hydro,water,3370.0,0.0,101.1,0.005,60.0,0.07,0.0,0.0,0.001,DNK,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,other_connections,hydro,"Base,ZeroCarbon",False,
7,EST_hydro,water,3370.0,0.0,101.1,0.005,60.0,0.07,0.0,0.0,0.001,EST,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,other_connections,hydro,"Base,ZeroCarbon",False,
8,FIN_hydro,water,3370.0,0.0,101.1,0.005,60.0,0.07,0.0,0.0,0.001,FIN,0.9,0.0,0.0,0.0,0.0,1.345,1211.512394,0.0,other_connections,hydro,"Base,ZeroCarbon",False,
9,FRA_hydro,water,3370.0,0.0,101.1,0.005,60.0,0.07,0.0,0.0,0.001,FRA,0.9,0.0,0.0,0.0,0.0,9.469638217,9108.375384,0.0,other_connections,hydro,"Base,ZeroCarbon",False,
10,DEU_hydro,water,3370.0,0.0,101.1,0.005,60.0,0.07,0.0,0.0,0.001,DEU,0.9,0.0,0.0,0.0,0.0,0.2028,171.7218619,0.0,other_connections,hydro,all,False,
