id,name,capex_p,capex_e,fom,vom,lifetime,discount_rate,node,charge_efficiency,discharge_efficiency,max_build_p,max_build_e,min_build_p,min_build_e,initial_cha_capacity,initial_discha_capacity,initial_energy_capacity,duration,chargeable,inflows,line,unit_type,scenarios,near_optimum,range_group
0,ALB_newphes,677.34,60.07,15.74,1.15,60,0.04,ALB,0.9,0.9,9664.5,38658,0,0,0,0,0,0,TRUE,FALSE,phes_connection,nphes,"base,zerocarbon",FALSE,
1,AUT_newphes,677.34,60.07,15.74,1.15,60,0.04,AUT,0.9,0.9,9367,37468,0,0,0,0,0,0,TRUE,FALSE,phes_connection,nphes,"test,base,zerocarbon",FALSE,
2,BGR_newphes,677.34,60.07,15.74,1.15,60,0.04,BGR,0.9,0.9,3575,14300,0,0,0,0,0,0,TRUE,FALSE,phes_connection,nphes,"base,zerocarbon",FALSE,
3,BIH_newphes,677.34,60.07,15.74,1.15,60,0.04,BIH,0.9,0.9,39024,156096,0,0,0,0,0,0,TRUE,FALSE,phes_connection,nphes,"base,zerocarbon",FALSE,
4,CHE_newphes,677.34,60.07,15.74,1.15,60,0.04,CHE,0.9,0.9,9786,39144,0,0,0,0,0,0,TRUE,FALSE,phes_connection,nphes,"test,base,zerocarbon",FALSE,
5,CYP_newphes,677.34,60.07,15.74,1.15,60,0.04,CYP,0.9,0.9,38,152,0,0,0,0,0,0,TRUE,FALSE,phes_connection,nphes,"base,zerocarbon",FALSE,
6,CZE_newphes,677.34,60.07,15.74,1.15,60,0.04,CZE,0.9,0.9,501.25,2005,0,0,0,0,0,0,TRUE,FALSE,phes_connection,nphes,"base,zerocarbon",FALSE,
7,DEU_newphes,677.34,60.07,15.74,1.15,60,0.04,DEU,0.9,0.9,504,2016,0,0,0,0,0,0,TRUE,FALSE,phes_connection,nphes,"test,base,zerocarbon",FALSE,
8,ESP_newphes,677.34,60.07,15.74,1.15,60,0.04,ESP,0.9,0.9,25414.5,101658,0,0,0,0,0,0,TRUE,FALSE,phes_connection,nphes,"base,zerocarbon",FALSE,
9,FIN_newphes,677.34,60.07,15.74,1.15,60,0.04,FIN,0.9,0.9,18.5,74,0,0,0,0,0,0,TRUE,FALSE,phes_connection,nphes,"base,zerocarbon",FALSE,
10,FRA_newphes,677.34,60.07,15.74,1.15,60,0.04,FRA,0.9,0.9,11056,44224,0,0,0,0,0,0,TRUE,FALSE,phes_connection,nphes,"base,zerocarbon",FALSE,
11,GBR_newphes,677.34,60.07,15.74,1.15,60,0.04,GBR,0.9,0.9,3180.5,12722,0,0,0,0,0,0,TRUE,FALSE,phes_connection,nphes,"base,zerocarbon",FALSE,
12,GRC_newphes,677.34,60.07,15.74,1.15,60,0.04,GRC,0.9,0.9,18215.5,72862,0,0,0,0,0,0,TRUE,FALSE,phes_connection,nphes,"base,zerocarbon",FALSE,
13,HRV_newphes,677.34,60.07,15.74,1.15,60,0.04,HRV,0.9,0.9,1716.5,6866,0,0,0,0,0,0,TRUE,FALSE,phes_connection,nphes,"base,zerocarbon",FALSE,
14,HUN_newphes,677.34,60.07,15.74,1.15,60,0.04,HUN,0.9,0.9,3.75,15,0,0,0,0,0,0,TRUE,FALSE,phes_connection,nphes,"base,zerocarbon",FALSE,
15,IRL_newphes,677.34,60.07,15.74,1.15,60,0.04,IRL,0.9,0.9,79.75,319,0,0,0,0,0,0,TRUE,FALSE,phes_connection,nphes,"base,zerocarbon",FALSE,
16,ITA_newphes,677.34,60.07,15.74,1.15,60,0.04,ITA,0.9,0.9,28504,114016,0,0,0,0,0,0,TRUE,FALSE,phes_connection,nphes,"base,zerocarbon",FALSE,
17,MKD_newphes,677.34,60.07,15.74,1.15,60,0.04,MKD,0.9,0.9,8889,35556,0,0,0,0,0,0,TRUE,FALSE,phes_connection,nphes,"base,zerocarbon",FALSE,
18,MNE_newphes,677.34,60.07,15.74,1.15,60,0.04,MNE,0.9,0.9,11341.75,45367,0,0,0,0,0,0,TRUE,FALSE,phes_connection,nphes,"base,zerocarbon",FALSE,
