locs,biogas_to_electricity_supply
ALB,26.250000000001208
AUT,337.00000000001324
BEL,221.50000000000864
BGR,139.25000000000168
BIH,55.50000000000125
CHE,184.49999999999417
CYP,9.500000000000039
CZE,293.1249999999946
DEU,1458.0000000000261
DNK,169.75000000001177
ESP,589.500000000024
EST,111.62499999999625
FIN,552.3749999999657
FRA,1487.625000000047
GBR,452.1250000000219
GRC,79.12499999999787
HRV,67.87500000000358
HUN,287.7499999999805
IRL,85.74999999999778
ISL,2.0000000000000626
ITA,603.9999999999819
LTU,136.25000000000668
LUX,9.749999999999888
LVA,197.25000000000878
MKD,28.87500000000227
MNE,35.874999999998494
NLD,176.62500000000236
NOR,274.12499999999545
POL,778.1249999999703
PRT,204.12500000001108
ROU,501.875
SRB,152.75000000000966
SVK,136.62500000000313
SVN,93.87500000000259
SWE,924.8750000000612
