locs,hydro_reservoir,hydro_run_of_river,pumped_hydro
ALB,1.7602,0.362316,0
AUT,5.23992,4.473616868,3.5893
BEL,0.012735669,0.05901534,1.308
BGR,1.49954,0.0224,1.399
BIH,1.5695,0.096,0.43
CHE,9.12793,4.0528798,4.24765
CYP,0,0,0
CZE,0.711483902,0.040226382,1.172509552
DEU,0.2028,3.53289555,6.42472
DNK,0,0,0
ESP,8.364235,0.147008248,7.823272
EST,0,0,0
FIN,1.345,1.34095,0
FRA,9.469638217,6.331332562,5.064
GBR,0.524,0.848475,2.905
GRC,2.5862,0.110315,0.699
HRV,1.327624459,0.27866773,0.5187
HUN,0.028,0.0197,0
IRL,0.001,0.216,0.292
ISL,0,0,0
ITA,5.52824,5.90196,7.9626
LTU,0.101,0,0.9
LUX,0,0,1.291
LVA,0.884,0.6421,0
MKD,0.449,0.0416,0
MNE,0.362961,0.31236,0
NLD,0,0,0
NOR,31.75431,0,1.3443
POL,0.412506369,0.014400369,1.705
PRT,1.3354,1.6155,3.64
ROU,5.273480127,0.87045,0
SRB,1.8753,0.215,0.614
SVK,0.792,0.64133,1.02128
SVN,0.60219,0.451415,0.185
SWE,11.67406352,1.995,0.092
