locs,hydro_reservoir,pumped_hydro
ALB,1525.27358,0
AUT,3183.615737,701.0174419
BEL,11.47168817,5.71
BGR,1350.714718,41.13
BIH,2.953779503,0.0034
CHE,2283.602044,288.2197303
CYP,0,0
CZE,640.8710526,5.618274935
DEU,171.7218619,38.71671898
DNK,0,0
ESP,8141.594275,4022.348642
EST,0,0
FIN,1211.512394,0
FRA,9108.375384,82.74555161
GBR,471.9944197,25.43
GRC,1912.857143,5.14
HRV,1195.861328,27.81434783
HUN,25.22107586,0
IRL,0.900752709,1.8
ISL,0,0
ITA,4979.577158,413.6195
LTU,90.97602365,10.8
LUX,0,4.478
LVA,46.33,0
MKD,404.4379665,0
MNE,354.7481033,0
NLD,0,0
NOR,44705.52225,4952.9217
POL,2.690258931,15.69
PRT,1816.778113,511.5761039
ROU,4750.101512,0
SRB,784.1607808,6.300055463
SVK,713.3961458,10.47902385
SVN,542.424274,1.89822518
SWE,10521.55504,184.3066667
