locs,area (km2),PV potential (GW),Wind potential (GW)
FRA,188380.1957735196,15070.415661881569,1507.0415661881568
SWE,87702.82677739859,7016.2261421918865,701.6226142191887
ITA,55505.30734027922,4440.424587222337,444.0424587222338
NOR,102298.31747402811,8183.865397922249,818.3865397922249
DEU,101932.74732778594,8154.6197862228755,815.4619786222875
DNK,15017.867047771811,1201.429363821745,120.1429363821745
EST,11916.545928664504,953.3236742931603,95.33236742931602
CYP,1920.3598099574451,153.6287847965956,15.36287847965956
LVA,18308.858660597358,1464.7086928477886,146.47086928477887
BIH,6893.180728808046,551.4544583046437,55.14544583046437
LUX,658.6994140520693,52.69595312416554,5.269595312416555
MKD,5289.305181421341,423.1444145137073,42.31444145137073
HRV,15750.43892659247,1260.0351141273975,126.00351141273975
LTU,23428.1969826445,1874.25575861156,187.42557586115598
ISL,7091.531009010971,567.3224807208776,56.73224807208776
GBR,76593.64650454745,6127.491720363796,612.7491720363796
BEL,5039.664911892265,403.1731929513812,40.31731929513812
ROU,103342.78644667567,8267.422915734054,826.7422915734054
SVN,1283.352308511734,102.66818468093872,10.266818468093872
PRT,28255.897458128635,2260.471796650291,226.0471796650291
BGR,42351.187651224434,3388.0950120979546,338.8095012097955
CHE,1469.4156192839148,117.55324954271319,11.755324954271318
CZE,26081.94424495846,2086.5555395966767,208.65555395966769
GRC,25976.952350139614,2078.156188011169,207.81561880111693
IRL,28378.789892036468,2270.3031913629175,227.03031913629175
SVK,14176.943716235462,1134.155497298837,113.4155497298837
ALB,3357.8142674416304,268.62514139533044,26.862514139533044
HUN,57401.86818661541,4592.149454929233,459.2149454929233
NLD,7084.4142835102975,566.7531426808238,56.67531426808238
AUT,9913.443473637104,793.0754778909683,79.30754778909683
ESP,220917.3902609125,17673.391220873,1767.3391220873
SRB,25834.06569773704,2066.7252558189634,206.67252558189634
POL,120922.79758946598,9673.823807157278,967.3823807157278
FIN,63885.09126269817,5110.807301015854,511.0807301015854
MNE,1235.45497430861,98.8363979446888,9.88363979446888
