locs,techs,energy_cap_min
ALB,ac_ohl_mountain_transmission:GRC,0.8
ALB,ac_ohl_mountain_transmission:MKD,0.7000000000000001
ALB,ac_ohl_transmission:MNE,0.9000000000000001
ALB,ac_ohl_transmission:SRB,0.9000000000000001
AUT,ac_ohl_mountain_transmission:CHE,2.4
AUT,ac_ohl_mountain_transmission:DEU,5.300000000000001
AUT,ac_ohl_mountain_transmission:ITA,2.3000000000000003
AUT,ac_ohl_mountain_transmission:SVN,1.6
AUT,ac_ohl_transmission:CZE,2.1
AUT,ac_ohl_transmission:DEU,5.500000000000001
AUT,ac_ohl_transmission:HUN,1.6
BEL,ac_ohl_transmission:FRA,4.6000000000000005
BEL,ac_ohl_transmission:LUX,0.7000000000000001
BEL,ac_ohl_transmission:NLD,3.5000000000000004
BEL,dc_subsea_transmission:GBR,2.4
BEL,dc_underground_transmission:DEU,2.0
BGR,ac_ohl_transmission:GRC,0.5
BGR,ac_ohl_transmission:MKD,0.7000000000000001
BGR,ac_ohl_transmission:ROU,1.7000000000000002
BGR,ac_ohl_transmission:SRB,0.9000000000000001
BIH,ac_ohl_mountain_transmission:MNE,1.4000000000000001
BIH,ac_ohl_transmission:HRV,4.0
BIH,ac_ohl_transmission:SRB,3.1000000000000005
CHE,ac_ohl_mountain_transmission:AUT,2.4
CHE,ac_ohl_mountain_transmission:ITA,7.500000000000001
CHE,ac_ohl_transmission:DEU,6.000000000000001
CHE,ac_ohl_transmission:FRA,9.5
CHE,dc_underground_transmission:ITA,1.0
CYP,dc_subsea_transmission:GRC,2.0
CZE,ac_ohl_transmission:AUT,2.1
CZE,ac_ohl_transmission:DEU,3.7000000000000006
CZE,ac_ohl_transmission:POL,2.1
CZE,ac_ohl_transmission:SVK,2.7
DEU,ac_ohl_mountain_transmission:AUT,5.300000000000001
DEU,ac_ohl_transmission:AUT,5.500000000000001
DEU,ac_ohl_transmission:CHE,6.000000000000001
DEU,ac_ohl_transmission:CZE,3.7000000000000006
DEU,ac_ohl_transmission:DNK,3.0000000000000004
DEU,ac_ohl_transmission:FRA,2.9000000000000004
DEU,ac_ohl_transmission:LUX,2.9000000000000004
DEU,ac_ohl_transmission:NLD,8.5
DEU,ac_ohl_transmission:POL,5.1000000000000005
DEU,dc_subsea_transmission:DNK,1.95
DEU,dc_subsea_transmission:GBR,1.4000000000000001
DEU,dc_subsea_transmission:NOR,1.4000000000000001
DEU,dc_subsea_transmission:SWE,2.6
DEU,dc_underground_transmission:BEL,2.0
DNK,ac_ohl_transmission:DEU,3.0000000000000004
DNK,ac_ohl_transmission:SWE,1.7000000000000002
DNK,dc_subsea_transmission:DEU,1.95
DNK,dc_subsea_transmission:GBR,1.4000000000000001
DNK,dc_subsea_transmission:NLD,0.7000000000000001
DNK,dc_subsea_transmission:NOR,1.7000000000000002
DNK,dc_subsea_transmission:POL,0.6
DNK,dc_subsea_transmission:SWE,0.74
ESP,ac_ohl_mountain_transmission:FRA,2.0
ESP,ac_ohl_transmission:FRA,0.1
ESP,ac_ohl_transmission:PRT,3.5500000000000003
ESP,dc_subsea_transmission:FRA,4.500000000000001
ESP,dc_underground_transmission:FRA,4.300000000000001
EST,ac_ohl_transmission:LVA,0.9500000000000002
EST,dc_subsea_transmission:FIN,1.0
FIN,ac_ohl_transmission:NOR,0.05
FIN,ac_ohl_transmission:SWE,3.15
FIN,dc_subsea_transmission:EST,1.0
FIN,dc_subsea_transmission:SWE,0.8
FRA,ac_ohl_mountain_transmission:ESP,2.0
FRA,ac_ohl_mountain_transmission:ITA,4.8
FRA,ac_ohl_transmission:BEL,4.6000000000000005
FRA,ac_ohl_transmission:CHE,9.5
FRA,ac_ohl_transmission:DEU,2.9000000000000004
FRA,ac_ohl_transmission:ESP,0.1
FRA,dc_subsea_transmission:ESP,4.500000000000001
FRA,dc_subsea_transmission:GBR,7.600000000000001
FRA,dc_subsea_transmission:IRL,0.7000000000000001
FRA,dc_subsea_transmission:ITA,1.8000000000000003
FRA,dc_underground_transmission:ESP,4.300000000000001
FRA,dc_underground_transmission:GBR,3.0000000000000004
FRA,dc_underground_transmission:ITA,1.1
GBR,ac_ohl_transmission:IRL,1.1
GBR,dc_subsea_transmission:BEL,2.4
GBR,dc_subsea_transmission:DEU,1.4000000000000001
GBR,dc_subsea_transmission:DNK,1.4000000000000001
GBR,dc_subsea_transmission:FRA,7.600000000000001
GBR,dc_subsea_transmission:IRL,1.7500000000000002
GBR,dc_subsea_transmission:ISL,1.0
GBR,dc_subsea_transmission:NLD,1.0
GBR,dc_subsea_transmission:NOR,3.4000000000000004
GBR,dc_underground_transmission:FRA,3.0000000000000004
GRC,ac_ohl_mountain_transmission:ALB,0.8
GRC,ac_ohl_transmission:BGR,0.5
GRC,ac_ohl_transmission:MKD,0.6
GRC,dc_subsea_transmission:CYP,2.0
GRC,dc_subsea_transmission:ITA,1.0
HRV,ac_ohl_transmission:BIH,4.0
HRV,ac_ohl_transmission:HUN,2.3000000000000003
HRV,ac_ohl_transmission:SRB,0.7000000000000001
HRV,ac_ohl_transmission:SVN,3.4000000000000004
HUN,ac_ohl_transmission:AUT,1.6
HUN,ac_ohl_transmission:HRV,2.3000000000000003
HUN,ac_ohl_transmission:ROU,1.4000000000000001
HUN,ac_ohl_transmission:SRB,0.7000000000000001
HUN,ac_ohl_transmission:SVK,5.4
HUN,ac_ohl_transmission:SVN,0.9000000000000001
IRL,ac_ohl_transmission:GBR,1.1
IRL,dc_subsea_transmission:FRA,0.7000000000000001
IRL,dc_subsea_transmission:GBR,1.7500000000000002
ISL,dc_subsea_transmission:GBR,1.0
ITA,ac_ohl_mountain_transmission:AUT,2.3000000000000003
ITA,ac_ohl_mountain_transmission:CHE,7.500000000000001
ITA,ac_ohl_mountain_transmission:FRA,4.8
ITA,ac_ohl_transmission:SVN,2.6
ITA,dc_subsea_transmission:FRA,1.8000000000000003
ITA,dc_subsea_transmission:GRC,1.0
ITA,dc_subsea_transmission:MNE,1.2
ITA,dc_underground_transmission:CHE,1.0
ITA,dc_underground_transmission:FRA,1.1
ITA,dc_underground_transmission:SVN,1.0
LTU,ac_ohl_transmission:LVA,1.5000000000000002
LTU,ac_ohl_transmission:POL,1.0
LTU,dc_subsea_transmission:SWE,0.7000000000000001
LUX,ac_ohl_transmission:BEL,0.7000000000000001
LUX,ac_ohl_transmission:DEU,2.9000000000000004
LVA,ac_ohl_transmission:EST,0.9500000000000002
LVA,ac_ohl_transmission:LTU,1.5000000000000002
MKD,ac_ohl_mountain_transmission:ALB,0.7000000000000001
MKD,ac_ohl_transmission:BGR,0.7000000000000001
MKD,ac_ohl_transmission:GRC,0.6
MKD,ac_ohl_transmission:SRB,1.9000000000000004
MNE,ac_ohl_mountain_transmission:BIH,1.4000000000000001
MNE,ac_ohl_mountain_transmission:SRB,2.9000000000000004
MNE,ac_ohl_transmission:ALB,0.9000000000000001
MNE,dc_subsea_transmission:ITA,1.2
NLD,ac_ohl_transmission:BEL,3.5000000000000004
NLD,ac_ohl_transmission:DEU,8.5
NLD,dc_subsea_transmission:DNK,0.7000000000000001
NLD,dc_subsea_transmission:GBR,1.0
NLD,dc_subsea_transmission:NOR,0.7000000000000001
NOR,ac_ohl_transmission:FIN,0.05
NOR,ac_ohl_transmission:SWE,4.098
NOR,dc_subsea_transmission:DEU,1.4000000000000001
NOR,dc_subsea_transmission:DNK,1.7000000000000002
NOR,dc_subsea_transmission:GBR,3.4000000000000004
NOR,dc_subsea_transmission:NLD,0.7000000000000001
POL,ac_ohl_transmission:CZE,2.1
POL,ac_ohl_transmission:DEU,5.1000000000000005
POL,ac_ohl_transmission:LTU,1.0
POL,ac_ohl_transmission:SVK,0.6
POL,dc_subsea_transmission:DNK,0.6
POL,dc_subsea_transmission:SWE,0.6
PRT,ac_ohl_transmission:ESP,3.5500000000000003
ROU,ac_ohl_transmission:BGR,1.7000000000000002
ROU,ac_ohl_transmission:HUN,1.4000000000000001
ROU,ac_ohl_transmission:SRB,2.5
SRB,ac_ohl_mountain_transmission:MNE,2.9000000000000004
SRB,ac_ohl_transmission:ALB,0.9000000000000001
SRB,ac_ohl_transmission:BGR,0.9000000000000001
SRB,ac_ohl_transmission:BIH,3.1000000000000005
SRB,ac_ohl_transmission:HRV,0.7000000000000001
SRB,ac_ohl_transmission:HUN,0.7000000000000001
SRB,ac_ohl_transmission:MKD,1.9000000000000004
SRB,ac_ohl_transmission:ROU,2.5
SVK,ac_ohl_transmission:CZE,2.7
SVK,ac_ohl_transmission:HUN,5.4
SVK,ac_ohl_transmission:POL,0.6
SVN,ac_ohl_mountain_transmission:AUT,1.6
SVN,ac_ohl_transmission:HRV,3.4000000000000004
SVN,ac_ohl_transmission:HUN,0.9000000000000001
SVN,ac_ohl_transmission:ITA,2.6
SVN,dc_underground_transmission:ITA,1.0
SWE,ac_ohl_transmission:DNK,1.7000000000000002
SWE,ac_ohl_transmission:FIN,3.15
SWE,ac_ohl_transmission:NOR,4.098
SWE,dc_subsea_transmission:DEU,2.6
SWE,dc_subsea_transmission:DNK,0.74
SWE,dc_subsea_transmission:FIN,0.8
SWE,dc_subsea_transmission:LTU,0.7000000000000001
SWE,dc_subsea_transmission:POL,0.6
