locs,techs,current,potential
ALB,ac_ohl_mountain_transmission:GRC,0.8,32
ALB,ac_ohl_mountain_transmission:MKD,0.7,28
ALB,ac_ohl_transmission:MNE,0.9,36
ALB,ac_ohl_transmission:SRB,0.9,36
AUT,ac_ohl_mountain_transmission:CHE,2.4,24
AUT,ac_ohl_mountain_transmission:DEU,5.3,26.5
AUT,ac_ohl_mountain_transmission:ITA,2.3,23
AUT,ac_ohl_mountain_transmission:SVN,1.6,16
AUT,ac_ohl_transmission:CZE,2.1,21
AUT,ac_ohl_transmission:DEU,5.5,27.5
AUT,ac_ohl_transmission:HUN,1.6,16
BEL,ac_ohl_transmission:FRA,4.6,46
BEL,ac_ohl_transmission:LUX,0.7,28
BEL,ac_ohl_transmission:NLD,3.5,35
BEL,dc_subsea_transmission:GBR,2.4,24
BEL,dc_underground_transmission:DEU,2,20
BGR,ac_ohl_transmission:GRC,0.5,20
BGR,ac_ohl_transmission:MKD,0.7,28
BGR,ac_ohl_transmission:ROU,1.7,17
BGR,ac_ohl_transmission:SRB,0.9,36
BIH,ac_ohl_mountain_transmission:MNE,1.4,14
BIH,ac_ohl_transmission:HRV,4,40
BIH,ac_ohl_transmission:SRB,3.1,31
CHE,ac_ohl_mountain_transmission:AUT,2.4,24
CHE,ac_ohl_mountain_transmission:ITA,7.5,37.5
CHE,ac_ohl_transmission:DEU,6,30
CHE,ac_ohl_transmission:FRA,9.5,47.5
CHE,dc_underground_transmission:ITA,1,40
CYP,dc_subsea_transmission:GRC,2,20
CZE,ac_ohl_transmission:AUT,2.1,21
CZE,ac_ohl_transmission:DEU,3.7,37
CZE,ac_ohl_transmission:POL,2.1,21
CZE,ac_ohl_transmission:SVK,2.7,27
DEU,ac_ohl_mountain_transmission:AUT,5.3,26.5
DEU,ac_ohl_transmission:AUT,5.5,27.5
DEU,ac_ohl_transmission:CHE,6,30
DEU,ac_ohl_transmission:CZE,3.7,37
DEU,ac_ohl_transmission:DNK,3,30
DEU,ac_ohl_transmission:FRA,2.9,29
DEU,ac_ohl_transmission:LUX,2.9,29
DEU,ac_ohl_transmission:NLD,8.5,42.5
DEU,ac_ohl_transmission:POL,5.1,25.5
DEU,dc_subsea_transmission:DNK,1.95,19.5
DEU,dc_subsea_transmission:GBR,1.4,14
DEU,dc_subsea_transmission:NOR,1.4,14
DEU,dc_subsea_transmission:SWE,2.6,26
DEU,dc_underground_transmission:BEL,2,20
DNK,ac_ohl_transmission:DEU,3,30
DNK,ac_ohl_transmission:SWE,1.7,17
DNK,dc_subsea_transmission:DEU,1.95,19.5
DNK,dc_subsea_transmission:GBR,1.4,14
DNK,dc_subsea_transmission:NLD,0.7,28
DNK,dc_subsea_transmission:NOR,1.7,17
DNK,dc_subsea_transmission:POL,0.6,24
DNK,dc_subsea_transmission:SWE,0.74,29.6
ESP,ac_ohl_mountain_transmission:FRA,2,20
ESP,ac_ohl_transmission:FRA,0.1,4
ESP,ac_ohl_transmission:PRT,3.55,35.5
ESP,dc_subsea_transmission:FRA,4.5,45
ESP,dc_underground_transmission:FRA,4.3,43
EST,ac_ohl_transmission:LVA,0.95,38
EST,dc_subsea_transmission:FIN,1,40
FIN,ac_ohl_transmission:NOR,0.05,2
FIN,ac_ohl_transmission:SWE,3.15,31.5
FIN,dc_subsea_transmission:EST,1,40
FIN,dc_subsea_transmission:SWE,0.8,32
FRA,ac_ohl_mountain_transmission:ESP,2,20
FRA,ac_ohl_mountain_transmission:ITA,4.8,48
FRA,ac_ohl_transmission:BEL,4.6,46
FRA,ac_ohl_transmission:CHE,9.5,47.5
FRA,ac_ohl_transmission:DEU,2.9,29
FRA,ac_ohl_transmission:ESP,0.1,4
FRA,dc_subsea_transmission:ESP,4.5,45
FRA,dc_subsea_transmission:GBR,7.6,38
FRA,dc_subsea_transmission:IRL,0.7,28
FRA,dc_subsea_transmission:ITA,1.8,18
FRA,dc_underground_transmission:ESP,4.3,43
FRA,dc_underground_transmission:GBR,3,30
FRA,dc_underground_transmission:ITA,1.1,11
GBR,ac_ohl_transmission:IRL,1.1,11
GBR,dc_subsea_transmission:BEL,2.4,24
GBR,dc_subsea_transmission:DEU,1.4,14
GBR,dc_subsea_transmission:DNK,1.4,14
GBR,dc_subsea_transmission:FRA,7.6,38
GBR,dc_subsea_transmission:IRL,1.75,17.5
GBR,dc_subsea_transmission:ISL,1,40
GBR,dc_subsea_transmission:NLD,1,40
GBR,dc_subsea_transmission:NOR,3.4,34
GBR,dc_underground_transmission:FRA,3,30
GRC,ac_ohl_mountain_transmission:ALB,0.8,32
GRC,ac_ohl_transmission:BGR,0.5,20
GRC,ac_ohl_transmission:MKD,0.6,24
GRC,dc_subsea_transmission:CYP,2,20
GRC,dc_subsea_transmission:ITA,1,40
HRV,ac_ohl_transmission:BIH,4,40
HRV,ac_ohl_transmission:HUN,2.3,23
HRV,ac_ohl_transmission:SRB,0.7,28
HRV,ac_ohl_transmission:SVN,3.4,34
