locs,techs,energy_cap_max
ALB,ac_ohl_mountain_transmission:GRC,32.0
ALB,ac_ohl_mountain_transmission:MKD,28.000000000000004
ALB,ac_ohl_transmission:MNE,36.00000000000001
ALB,ac_ohl_transmission:SRB,36.00000000000001
AUT,ac_ohl_mountain_transmission:CHE,24.000000000000004
AUT,ac_ohl_mountain_transmission:DEU,26.5
AUT,ac_ohl_mountain_transmission:ITA,23.0
AUT,ac_ohl_mountain_transmission:SVN,16.0
AUT,ac_ohl_transmission:CZE,21.000000000000004
AUT,ac_ohl_transmission:DEU,27.500000000000004
AUT,ac_ohl_transmission:HUN,16.0
BEL,ac_ohl_transmission:FRA,46.0
BEL,ac_ohl_transmission:LUX,28.000000000000004
BEL,ac_ohl_transmission:NLD,35.0
BEL,dc_subsea_transmission:GBR,24.000000000000004
BEL,dc_underground_transmission:DEU,20.0
BGR,ac_ohl_transmission:GRC,20.0
BGR,ac_ohl_transmission:MKD,28.000000000000004
BGR,ac_ohl_transmission:ROU,17.0
BGR,ac_ohl_transmission:SRB,36.00000000000001
BIH,ac_ohl_mountain_transmission:MNE,14.000000000000002
BIH,ac_ohl_transmission:HRV,40.0
BIH,ac_ohl_transmission:SRB,31.0
CHE,ac_ohl_mountain_transmission:AUT,24.000000000000004
CHE,ac_ohl_mountain_transmission:ITA,37.50000000000001
CHE,ac_ohl_transmission:DEU,30.000000000000004
CHE,ac_ohl_transmission:FRA,47.5
CHE,dc_underground_transmission:ITA,40.0
CYP,dc_subsea_transmission:GRC,20.0
CZE,ac_ohl_transmission:AUT,21.000000000000004
CZE,ac_ohl_transmission:DEU,37.00000000000001
CZE,ac_ohl_transmission:POL,21.000000000000004
CZE,ac_ohl_transmission:SVK,27.0
DEU,ac_ohl_mountain_transmission:AUT,26.5
DEU,ac_ohl_transmission:AUT,27.500000000000004
DEU,ac_ohl_transmission:CHE,30.000000000000004
DEU,ac_ohl_transmission:CZE,37.00000000000001
DEU,ac_ohl_transmission:DNK,30.000000000000004
DEU,ac_ohl_transmission:FRA,29.000000000000004
DEU,ac_ohl_transmission:LUX,29.000000000000004
DEU,ac_ohl_transmission:NLD,42.50000000000001
DEU,ac_ohl_transmission:POL,25.5
DEU,dc_subsea_transmission:DNK,19.5
DEU,dc_subsea_transmission:GBR,14.000000000000002
